gene	bait	correlation
tn	stw	-0.999980956839705
Pka-C3	Gasp	-0.9862538104569321
crp	Gasp	0.9997223580620284
pum	Gasp	-0.9902692628748033
S	Gasp	0.9946239199233577
mew	Gasp	-0.9997333152484487
PhKgamma	Gasp	0.9929091962565026
mtd	Gasp	0.9987377341933263
mspo	Gasp	-0.999910059425123
JIL-1	Gasp	0.9991645211018375
NFAT	Gasp	0.9999219157519185
scaf	Gasp	-0.9868627638044936
Magi	Gasp	-0.9976858591163835
barc	Gasp	0.9903839892673856
mura	Gasp	-0.9866247149650647
ham	Gasp	-0.9952610163922394
SKIP	Gasp	-0.9984045497037878
zormin	Gasp	0.9951763414551826
Gprk1	Gasp	-0.9944499640475514
larp	Gasp	-0.999996177269651
milt	Gasp	0.999688866875592
cnc	Gasp	-0.9902306719810229
tn	Gasp	-0.9986322463122951
Smr	Gasp	-0.9969989364712768
sima	Gasp	-0.9995257929572195
HnRNP-K	Gasp	-0.9996909127542294
stw	Gasp	0.998290563474181
robo2	pio	0.995359909823824
pum	pio	0.992341448818728
pwn	pio	0.9989161194197956
vn	pio	0.9974797030371255
wts	puc	0.9958420362186774
wun	puc	0.9982688157770772
sona	puc	0.9988608464901025
rdgC	puc	-0.9961474001334414
stumps	serp	-0.9999431931391151
slow	serp	0.9938363362431328
sxc	serp	-0.9995829730199317
